order_id,order_date,year,quarter,month,customer_id,customer_type,product_id,product_name,category,region,sales_channel,unit_cost,unit_price,discount_pct,effective_price,quantity,gross_revenue,cogs,gross_margin,gross_margin_pct
ORD-101372,2024-01-01,2024,Q1-2024,2024-01,CUST-3383,Consumer,PROD-401,Thunderbolt 4 Docking Station,Cloud Accessories,Europe,Direct Sales,110.0,249.0,3.62,240.0,1,240.0,110.0,130.0,54.17
ORD-103998,2024-01-01,2024,Q1-2024,2024-01,CUST-3106,Enterprise,PROD-301,Smart Folding Treadmill,Fitness & Wellness,Asia-Pacific,Direct Sales,480.0,899.0,10.02,808.95,20,16179.0,9600.0,6579.0,40.66
ORD-111238,2024-01-01,2024,Q1-2024,2024-01,CUST-1730,Consumer,PROD-403,Precision Ergonomic Mouse,Cloud Accessories,Europe,Online Marketplace,32.0,79.0,4.63,75.34,2,150.68,64.0,86.68,57.53
ORD-109353,2024-01-01,2024,Q1-2024,2024-01,CUST-2339,Consumer,PROD-502,All-Weather Technical Parka,Apparel & Gear,Asia-Pacific,Online Marketplace,85.0,220.0,4.72,209.61,3,628.83,255.0,373.83,59.45
ORD-103084,2024-01-01,2024,Q1-2024,2024-01,CUST-2572,Mid-Market,PROD-104,4K Studio Webcam,Electronics,North America,Retail Partner,65.0,149.0,10.18,133.84,3,401.52,195.0,206.52,51.43
ORD-105598,2024-01-01,2024,Q1-2024,2024-01,CUST-2490,Consumer,PROD-103,Noise-Canceling Headset,Electronics,Europe,Online Marketplace,95.0,199.0,4.97,189.12,2,378.24,190.0,188.24,49.77
ORD-101196,2024-01-01,2024,Q1-2024,2024-01,CUST-2799,Consumer,PROD-403,Precision Ergonomic Mouse,Cloud Accessories,North America,Direct Sales,32.0,79.0,6.79,73.64,3,220.92,96.0,124.92,56.55
ORD-109835,2024-01-01,2024,Q1-2024,2024-01,CUST-1985,Mid-Market,PROD-202,Dual-Motor Standing Desk,Home Office,Latin America,Retail Partner,240.0,529.0,5.98,497.38,5,2486.9,1200.0,1286.9,51.75
ORD-102673,2024-01-01,2024,Q1-2024,2024-01,CUST-1269,Mid-Market,PROD-103,Noise-Canceling Headset,Electronics,North America,Online Marketplace,95.0,199.0,5.33,188.4,7,1318.8,665.0,653.8,49.58
ORD-102527,2024-01-01,2024,Q1-2024,2024-01,CUST-2814,Consumer,PROD-303,Percussive Massage Gun,Fitness & Wellness,Europe,Direct Sales,55.0,159.0,5.25,150.66,2,301.32,110.0,191.32,63.49
ORD-101344,2024-01-01,2024,Q1-2024,2024-01,CUST-1974,Enterprise,PROD-101,UltraBook Pro 16,Electronics,Asia-Pacific,Direct Sales,850.0,1299.0,9.96,1169.59,10,11695.9,8500.0,3195.9,27.32
ORD-109578,2024-01-01,2024,Q1-2024,2024-01,CUST-2934,Consumer,PROD-303,Percussive Massage Gun,Fitness & Wellness,North America,Online Marketplace,55.0,159.0,7.15,147.63,3,442.89,165.0,277.89,62.74
ORD-111598,2024-01-01,2024,Q1-2024,2024-01,CUST-2469,Mid-Market,PROD-202,Dual-Motor Standing Desk,Home Office,Europe,Retail Partner,240.0,529.0,4.07,507.46,8,4059.68,1920.0,2139.68,52.71
ORD-106888,2024-01-01,2024,Q1-2024,2024-01,CUST-3444,Mid-Market,PROD-501,Waterproof Commuter Backpack,Apparel & Gear,Asia-Pacific,Direct Sales,40.0,110.0,8.3,100.87,8,806.96,320.0,486.96,60.34
ORD-104873,2024-01-01,2024,Q1-2024,2024-01,CUST-1277,Enterprise,PROD-402,Wireless Mechanical Keyboard,Cloud Accessories,Asia-Pacific,Retail Partner,50.0,129.0,13.43,111.67,13,1451.71,650.0,801.71,55.23
ORD-100741,2024-01-01,2024,Q1-2024,2024-01,CUST-1055,Mid-Market,PROD-303,Percussive Massage Gun,Fitness & Wellness,Asia-Pacific,Online Marketplace,55.0,159.0,11.52,140.68,2,281.36,110.0,171.36,60.9
ORD-102966,2024-01-01,2024,Q1-2024,2024-01,CUST-2936,Mid-Market,PROD-402,Wireless Mechanical Keyboard,Cloud Accessories,North America,Online Marketplace,50.0,129.0,9.76,116.41,7,814.87,350.0,464.87,57.05
ORD-105268,2024-01-01,2024,Q1-2024,2024-01,CUST-1579,Consumer,PROD-402,Wireless Mechanical Keyboard,Cloud Accessories,Latin America,Online Marketplace,50.0,129.0,3.5,124.49,2,248.98,100.0,148.98,59.84
ORD-110327,2024-01-02,2024,Q1-2024,2024-01,CUST-1258,Consumer,PROD-104,4K Studio Webcam,Electronics,Asia-Pacific,Online Marketplace,65.0,149.0,3.81,143.32,1,143.32,65.0,78.32,54.65
ORD-109010,2024-01-02,2024,Q1-2024,2024-01,CUST-2529,Enterprise,PROD-403,Precision Ergonomic Mouse,Cloud Accessories,Asia-Pacific,Direct Sales,32.0,79.0,8.77,72.08,27,1946.16,864.0,1082.16,55.6
ORD-108352,2024-01-02,2024,Q1-2024,2024-01,CUST-3317,Mid-Market,PROD-501,Waterproof Commuter Backpack,Apparel & Gear,Europe,Online Marketplace,40.0,110.0,11.62,97.22,8,777.76,320.0,457.76,58.86
ORD-110963,2024-01-02,2024,Q1-2024,2024-01,CUST-3397,Enterprise,PROD-104,4K Studio Webcam,Electronics,North America,Retail Partner,65.0,149.0,8.42,136.45,16,2183.2,1040.0,1143.2,52.36
ORD-104361,2024-01-02,2024,Q1-2024,2024-01,CUST-1765,Consumer,PROD-103,Noise-Canceling Headset,Electronics,North America,Online Marketplace,95.0,199.0,0.56,197.88,3,593.64,285.0,308.64,51.99
ORD-106914,2024-01-02,2024,Q1-2024,2024-01,CUST-2135,Mid-Market,PROD-502,All-Weather Technical Parka,Apparel & Gear,North America,Retail Partner,85.0,220.0,10.87,196.1,9,1764.9,765.0,999.9,56.65
ORD-108698,2024-01-02,2024,Q1-2024,2024-01,CUST-2179,Consumer,PROD-301,Smart Folding Treadmill,Fitness & Wellness,Latin America,Online Marketplace,480.0,899.0,0.75,892.24,2,1784.48,960.0,824.48,46.2
ORD-102785,2024-01-02,2024,Q1-2024,2024-01,CUST-2847,Consumer,PROD-401,Thunderbolt 4 Docking Station,Cloud Accessories,North America,Direct Sales,110.0,249.0,1.31,245.73,3,737.19,330.0,407.19,55.24
ORD-107609,2024-01-02,2024,Q1-2024,2024-01,CUST-1769,Enterprise,PROD-301,Smart Folding Treadmill,Fitness & Wellness,Europe,Online Marketplace,480.0,899.0,14.86,765.43,25,19135.75,12000.0,7135.75,37.29
ORD-102892,2024-01-02,2024,Q1-2024,2024-01,CUST-1374,Mid-Market,PROD-103,Noise-Canceling Headset,Electronics,Asia-Pacific,Retail Partner,95.0,199.0,5.66,187.74,3,563.22,285.0,278.22,49.4
ORD-102888,2024-01-02,2024,Q1-2024,2024-01,CUST-2461,Enterprise,PROD-302,Adjustable Dumbbell Set,Fitness & Wellness,Europe,Retail Partner,140.0,299.0,15.26,253.36,14,3547.04,1960.0,1587.04,44.74
ORD-103684,2024-01-02,2024,Q1-2024,2024-01,CUST-2537,Consumer,PROD-403,Precision Ergonomic Mouse,Cloud Accessories,North America,Direct Sales,32.0,79.0,5.92,74.32,2,148.64,64.0,84.64,56.94
ORD-111878,2024-01-02,2024,Q1-2024,2024-01,CUST-2573,Mid-Market,PROD-203,Acoustic Desk Privacy Panel,Home Office,North America,Direct Sales,45.0,119.0,6.48,111.29,4,445.16,180.0,265.16,59.57
ORD-106466,2024-01-02,2024,Q1-2024,2024-01,CUST-2552,Mid-Market,PROD-302,Adjustable Dumbbell Set,Fitness & Wellness,Europe,Retail Partner,140.0,299.0,7.86,275.49,6,1652.94,840.0,812.94,49.18
ORD-103788,2024-01-02,2024,Q1-2024,2024-01,CUST-2573,Enterprise,PROD-403,Precision Ergonomic Mouse,Cloud Accessories,North America,Direct Sales,32.0,79.0,12.26,69.32,17,1178.44,544.0,634.44,53.84
ORD-109537,2024-01-02,2024,Q1-2024,2024-01,CUST-1889,Consumer,PROD-201,ErgoPro Mesh Chair,Home Office,Europe,Direct Sales,180.0,389.0,3.25,376.36,1,376.36,180.0,196.36,52.17
ORD-104934,2024-01-02,2024,Q1-2024,2024-01,CUST-1777,Mid-Market,PROD-104,4K Studio Webcam,Electronics,Europe,Online Marketplace,65.0,149.0,6.33,139.56,6,837.36,390.0,447.36,53.43
ORD-106532,2024-01-02,2024,Q1-2024,2024-01,CUST-3440,Enterprise,PROD-402,Wireless Mechanical Keyboard,Cloud Accessories,North America,Direct Sales,50.0,129.0,17.35,106.62,17,1812.54,850.0,962.54,53.1
ORD-101676,2024-01-02,2024,Q1-2024,2024-01,CUST-1459,Consumer,PROD-203,Acoustic Desk Privacy Panel,Home Office,Europe,Online Marketplace,45.0,119.0,0.36,118.57,1,118.57,45.0,73.57,62.05
ORD-108946,2024-01-02,2024,Q1-2024,2024-01,CUST-2025,Consumer,PROD-101,UltraBook Pro 16,Electronics,North America,Online Marketplace,850.0,1299.0,2.18,1270.67,3,3812.01,2550.0,1262.01,33.11
ORD-109082,2024-01-02,2024,Q1-2024,2024-01,CUST-1588,Mid-Market,PROD-502,All-Weather Technical Parka,Apparel & Gear,Asia-Pacific,Direct Sales,85.0,220.0,6.37,205.98,7,1441.86,595.0,846.86,58.73
ORD-106569,2024-01-02,2024,Q1-2024,2024-01,CUST-3064,Consumer,PROD-303,Percussive Massage Gun,Fitness & Wellness,North America,Direct Sales,55.0,159.0,0.1,158.85,2,317.7,110.0,207.7,65.38
ORD-102316,2024-01-03,2024,Q1-2024,2024-01,CUST-1187,Mid-Market,PROD-102,"4K Curved Monitor 34""",Electronics,Latin America,Online Marketplace,320.0,549.0,4.22,525.81,4,2103.24,1280.0,823.24,39.14
ORD-106088,2024-01-03,2024,Q1-2024,2024-01,CUST-1882,Enterprise,PROD-502,All-Weather Technical Parka,Apparel & Gear,Europe,Direct Sales,85.0,220.0,10.25,197.45,5,987.25,425.0,562.25,56.95
ORD-108780,2024-01-03,2024,Q1-2024,2024-01,CUST-2741,Mid-Market,PROD-103,Noise-Canceling Headset,Electronics,Asia-Pacific,Direct Sales,95.0,199.0,9.61,179.88,5,899.4,475.0,424.4,47.19
ORD-100272,2024-01-03,2024,Q1-2024,2024-01,CUST-1562,Enterprise,PROD-502,All-Weather Technical Parka,Apparel & Gear,Asia-Pacific,Online Marketplace,85.0,220.0,11.99,193.62,16,3097.92,1360.0,1737.92,56.1
ORD-108797,2024-01-03,2024,Q1-2024,2024-01,CUST-2097,Consumer,PROD-502,All-Weather Technical Parka,Apparel & Gear,North America,Direct Sales,85.0,220.0,0.46,218.98,3,656.94,255.0,401.94,61.18
